Dizionario per immagini                                                                                                
lezione                                                                                                                              
Grupo 3
a tarde                                                                     - il pomeriggio                                                     
o saguão de embarque                                                        - la sala partenze                                                  
a saída                                                                     - l'uscita                                                          
alfandega                                                                   - la dogana                                                         
o funcionário da alfândega                                                  - il doganiere                                                      
o cartão de embarque                                                        - la carta d'imbarco                                                
o passageiro                                                                - il passeggero                                                     
o porteiro                                                                  - il facchino                                                       
a casa de câmbio                                                            - l'ufficio cambi                                                   
o balcão de informações                                                     - il banco informazioni                                             
o aluguel de carros                                                         - l'autonoleggio                                                    
eu negocio duty free                                                        - i negozi duty free                                                
o carrinho                                                                  - il carrello                                                       
Grupo 58
a bicicleta                                                                 - la bicicletta                                                     
o sedã                                                                      - la berlina                                                        
a scooter                                                                   - lo scooter                                                        
a scooter                                                                   - il motorino                                                       
a motocicleta                                                               - la motocicletta                                                   
a esportista                                                                - la sportiva                                                       
a minivan                                                                   - il monovolume                                                     
o familiar                                                                  - la familiare                                                      
o ônibus                                                                    - l'autobus                                                         
o veículo off-road                                                          - il fuoristrada                                                    
caminhao                                                                    - ii t.i.r                                                          
a van                                                                       - il furgone                                                        
o caminhão                                                                  - il camion                                                         
o trenó puxado por cães                                                     - la slitta con cani                                                
o bonde                                                                     - il tram                                                           
o trem                                                                      - il treno                                                          
o ônibus espacial                                                           - la navetta spaziale                                               
para os navios                                                              - la nave                                                           
a lancha                                                                    - il motoscafo                                                      
na companhia petrolífera                                                    - la petroliera                                                     
o barco à vela                                                              - la barca a vela                                                   
a canoa                                                                     - la canoa                                                          
o teleférico                                                                - la seggiovia                                                      
o barco para remi                                                           - la barca a remi                                                   
a balsa                                                                     - il traghetto                                                      
o bote                                                                      - il gommone                                                        
o planador                                                                  - l'aliante                                                         
a asa delta                                                                 - il deltaplano                                                     
o hidroavião                                                                - l'idrovolante                                                     
o balão de ar quente                                                        - la mongolfiera                                                    
o avião                                                                     - l'aereo                                                           
o teleférico                                                                - la funivia                                                        
o dirigível                                                                 - il dirigibile                                                     
o helicóptero                                                               - l'elicottero                                                      
Grupo 59
a fechadura                                                                 - la serratura                                                      
o espelho retrovisor                                                        - lo specchietto retrovisore                                        
na porta                                                                    - la portiera                                                       
a alça                                                                      - la maniglia                                                       
o limpador de para-brisa                                                    - il tergicristallo                                                 
o volante                                                                   - il volante                                                        
o banco da frente                                                           - il sedile anteriore                                               
o cinto de segurança                                                        - la cintura di sicurezza                                           
a placa do carro                                                            - la targa                                                          
o banco de trás                                                             - il sedile posteriore                                              
a cadeira de criança                                                        - il sedile per bambini                                             
a tampa do combustível                                                      - il tappo del serbatoio                                            
a borda                                                                     - il cerchione                                                      
o pneu                                                                      - il pneumatico                                                     
ele levanta                                                                 - il cric                                                           
a roda sobressalente                                                        - la ruota di scorta                                                
o painel                                                                    - il cruscotto                                                      
o tronco                                                                    - il bagagliaio                                                     
o triângulo                                                                 - il triangolo                                                      
a porta traseira                                                            - il portellone                                                     
o teto solar                                                                - il tettuccio apribile                                             
o para-brisa                                                                - il parabrezza                                                     
a antena                                                                    - l'antenna                                                         
o capuz                                                                     - il cofano                                                         
os fari\ois                                                                 - i fari                                                            
as luzes de posição                                                         - le luci di posizione                                              
o para-choque traseiro                                                      - il paraurti posteriore                                            
o para-choque dianteiro                                                     - il paraurti anteriore                                             
o velocímetro                                                               - il tachimetro                                                     
o tapete                                                                    - il tappetino                                                      
o indicador de direção                                                      - l'indicatore di direzione                                         
a buzina                                                                    - il clacson                                                        
a ignição                                                                   - l'accensione                                                      
o freio de mão                                                              - il freno a mano                                                   
a marcha                                                                    - il cambio                                                         
o rádio                                                                     - la radio                                                          
a gaveta                                                                    - il cassetto                                                       
a entrada de ar                                                             - la presa d'aria                                                   
a embreagem                                                                 - la frizione                                                       
o acelerador                                                                - l'acceleratore                                                    
o quebra-sol                                                                - l'aletta parasole                                                 
o motor                                                                     - il motore                                                         
eu parei com isso                                                           - lo stop                                                           
as luzes traseiras                                                          - le luci posteriori                                                
o encosto de cabeça                                                         - l'appoggiatesta                                                   
o tronco                                                                    - il portabagagli                                                   
Grupo 60
o guidão                                                                    - il manubrio                                                       
o quadro                                                                    - il telaio                                                         
a roda                                                                      - la ruota                                                          
o sino                                                                      - il campanello                                                     
o capacete                                                                  - il casco                                                          
o cavalete                                                                  - il cavalletto                                                     
o guarda-lamas                                                              - il parafango                                                      
o cadeado                                                                   - il lucchetto                                                      
a sela                                                                      - la sella                                                          
o freio                                                                     - il freno                                                          
a corrente                                                                  - la catena                                                         
o pedal                                                                     - il pedale                                                         
a mudança                                                                   - il cambio                                                         
os relatórios                                                               - i rapporti                                                        
a alavanca do freio                                                         - la leva del freno                                                 
o refletor                                                                  - il rifrangente                                                    
os raios                                                                    - i raggi                                                           
a válvula                                                                   - la valvola                                                        
a câmara de ar                                                              - la camera d'aria                                                  
Grupo 61
a mosca                                                                     - la mosca                                                          
o fazendeiro                                                                - il contadino                                                      
o boi                                                                       - il bue                                                            
o carrinho                                                                  - il carro                                                          
o porco                                                                     - il maiale                                                         
as ovelhas                                                                  - la pecora                                                         
o cordeiro                                                                  - l'agnello                                                         
para a cabra                                                                - la capra                                                          
o monturo                                                                   - il letamaio                                                       
a fazenda                                                                   - la fattoria                                                       
o burro                                                                     - l'asino                                                           
o touro                                                                     - il toro                                                           
o bezerro                                                                   - il vitello                                                        
a vaca                                                                      - la mucca                                                          
o estábulo                                                                  - la stalla                                                         
o celeiro                                                                   - il fienile                                                        
o galpão                                                                    - la rimessa                                                        
maquinaria agrícola                                                         - le macchine agricole                                              
o celeiro                                                                   - il granaio                                                        
o campo                                                                     - il campo                                                          
o trator                                                                    - il trattore                                                       
a horta                                                                     - l'orto                                                            
o cavalo                                                                    - il cavallo                                                        
o poço                                                                      - il pozzo                                                          
o mosquito                                                                  - la zanzara                                                        
o peru                                                                      - il tacchino                                                       
o pombo                                                                     - il piccione                                                       
o galinheiro                                                                - il pollaio                                                        
a galinha                                                                   - la gallina                                                        
o pintinho                                                                  - il pulcino                                                        
o feed                                                                      - il mangime                                                        
o galo                                                                      - il gallo                                                          
o cachorro                                                                  - il cane                                                           
o cachorrinho                                                               - ii cucciolo                                                       
a cauda                                                                     - la coda                                                           
a pata                                                                      - la zampa                                                          
o pavão                                                                     - il pavone                                                         
a colmeia                                                                   - l'alveare                                                         
o macaco                                                                    - l'ape                                                             
a formiga                                                                   - la formica                                                        
o galo                                                                      - il gallo                                                          
o pato                                                                      - l'anatra                                                          
o ganso                                                                     - l'oca                                                             
Grupo 62
o mato                                                                      - il cespuglio                                                      
a cerca viva                                                                - la siepe                                                          
o barril                                                                    - la canna                                                          
o regador                                                                   - l'annaffiatoio                                                    
a pá                                                                        - il badile                                                         
o carrinho de mão                                                           - la carriola                                                       
a enxada                                                                    - la zappa                                                          
a rosa                                                                      - la rosa                                                           
a pétala                                                                    - il petalo                                                         
o espinho                                                                   - la spina                                                          
o caule                                                                     - lo stelo                                                          
a folha                                                                     - la foglia                                                         
a violeta                                                                   - la viola                                                          
a margarida                                                                 - la margherita                                                     
o gerânio                                                                   - il geranio                                                        
a tulipa                                                                    - il tulipano                                                       
a orquídea                                                                  - l'orchidea                                                        
o cravo                                                                     - il garofano                                                       
o álamo                                                                     - il pioppo                                                         
o salgueiro                                                                 - il salice                                                         
palmeira                                                                    - la palma                                                          
o carvalho                                                                  - la quercia                                                        
o cipreste                                                                  - il cipresso                                                       
o pinheiro                                                                  - il pino                                                           
as raízes                                                                   - le radici                                                         
o tronco                                                                    - il tronco                                                         
a casca                                                                     - la corteccia                                                      
o ramo                                                                      - il ramo                                                           
Grupo 63
o ninho                                                                     - il nido                                                           
o passaro                                                                   - il passaro                                                        
a andorinha                                                                 - la rondine                                                        
a cegonha                                                                   - la cicogna                                                        
a coruja                                                                    - il gufo                                                           
a águia                                                                     - l'aquila                                                          
o cisne                                                                     - il cigno                                                          
o ganso                                                                     - l'oca                                                             
o pavão                                                                     - il pavone                                                         
o pombo                                                                     - il piccione                                                       
o avestruz                                                                  - lo struzzo                                                        
o pinguim                                                                   - il pinguino                                                       
a gaivota                                                                   - il gabbiano                                                       
o pelicano                                                                  - il pelicano                                                       
o papagaio                                                                  - il pappagallo                                                     
o canário                                                                   - il canarino                                                       
Grupo 64
o tubarão                                                                   - lo squalo                                                         
o crocodilo                                                                 - il coccodrilo                                                     
a tartaruga                                                                 - la tartaruga                                                      
a foca                                                                      - la foca                                                           
o golfinho                                                                  - il delfino                                                        
o camarão                                                                   - il gambero                                                        
a baleia                                                                    - la balena                                                         
o polvo                                                                     - il polpo                                                          
a concha                                                                    - la conchiglia                                                     
a estrela do mar                                                            - la stella marina                                                  
a lagosta                                                                   - l'aragosta                                                        
o caranguejo                                                                - il granchio                                                       
o peixe                                                                     - il pesce                                                          
a cauda                                                                     - la coda                                                           
a barbatana                                                                 - la pinna                                                          
a guelra                                                                    - la branchia                                                       
Grupo 65
o rinoceronte                                                               - il rinoceronte                                                    
o lagarto                                                                   - la lucertola                                                      
o rato                                                                      - il topo                                                           
a zebra                                                                     - la zebra                                                          
o esquilo                                                                   - lo scoiattolo                                                     
o canguru                                                                   - il canguro                                                        
o sapo                                                                      - la rana                                                           
o morcego                                                                   - il pipistrello                                                    
o porco-espinho                                                             - il porcospino                                                     
cobra                                                                      - il serpente                                                       
o castor                                                                    - il castoro                                                        
o elefante                                                                  - l'elefante                                                        
o hipopótamo                                                                - l'ippopotamo                                                      
o camelo para                                                               - il cammello a                                                     
o leão                                                                      - il leone                                                          
o javali                                                                    - il cinghiale                                                      
o tigre                                                                     - la tigre                                                          
o veado                                                                     - il cervo                                                          
o urso                                                                      - l'orso                                                            
a girafa                                                                    - la giraffa                                                        
o íbex                                                                      - lo stambecco                                                      
a lebre                                                                     - la lepre                                                          
na sola                                                                     - la talpa                                                          
o gorila                                                                    - il gorilla                                                        
a cimial                                                                    - la scimmial                                                       
o leopardo                                                                  - il leopardo                                                       
o lobo                                                                      - il lupo                                                           
a raposa                                                                    - la volpe                                                          
Grupo 66
alasca                                                                      - alasca                                                            
canadá                                                                      - canada                                                            
groenlândia                                                                 - groenlandia                                                       
islândia                                                                    - islanda                                                           
estados unidos                                                              - stati uniti                                                       
méxico                                                                      - messico                                                           
américa central                                                             - america centrale                                                  
américa latina                                                              - america latina                                                    
europa                                                                      - europa                                                            
áfrica                                                                      - africa                                                            
ásia                                                                        - asia                                                              
austrália                                                                   - australia                                                         
oceânia                                                                     - oceania                                                           
Grupo 67
islândia                                                                    - islanda                                                           
irlanda                                                                     - irlanda                                                           
reino unido                                                                 - regno unito                                                       
noruega                                                                     - norvegia                                                          
suécia                                                                      - svezia                                                            
finlândia                                                                   - finlandia                                                         
estônia                                                                     - estonia                                                           
letônia                                                                     - lettonia                                                          
lituânia                                                                    - lituania                                                          
polônia                                                                     - polonia                                                           
rússia branca                                                               - russia bianca                                                     
rússia                                                                      - russia                                                            
reykjavík                                                                   - reykjavik                                                         
dublin                                                                      - dublino                                                           
ucrânia                                                                     - ucraina                                                           
eslováquia                                                                  - slovacchia                                                        
hungria                                                                     - ungheria                                                          
moldávia                                                                    - moldavia                                                          
kyiv                                                                        - kijev                                                             
bratislava                                                                  - bratislava                                                        
budapeste                                                                   - budapest                                                          
romênia                                                                     - romania                                                           
bulgária                                                                    - bulgaria                                                          
grécia                                                                      - grecia                                                            
macedônia                                                                   - macedonia                                                         
albânia                                                                     - albania                                                           
tirana                                                                      - tirana                                                            
sérvia                                                                      - serbia                                                            
belgrado                                                                    - belgrado                                                          
bósnia e herzegovina                                                        - bosnia erzegovina                                                 
sarajevo                                                                    - sarajevo                                                          
croácia                                                                     - croazia                                                           
zagreb                                                                      - zagabria                                                          
eslovênia                                                                   - slovenia                                                          
apreciado                                                                   - lubiana                                                           
áustria                                                                     - austria                                                           
viena                                                                       - vienna                                                            
república checa                                                             - rep. ceca                                                         
alemanha                                                                    - germania                                                          
dinamarca                                                                   - danimarca                                                         
quando é                                                                    - olanda                                                            
bélgica                                                                     - belgio                                                            
luxemburgo                                                                  - lussemburgo                                                       
suíça                                                                       - svizzera                                                          
praga                                                                       - praga                                                             
berlim                                                                      - berlino                                                           
copenhague                                                                  - copenaghen                                                        
itália                                                                      - italia                                                            
roma                                                                        - roma                                                              
frança                                                                      - francia                                                           
paris                                                                       - parigi                                                            
espanha                                                                     - spagna                                                            
madri                                                                       - madrid                                                            
portugal                                                                    - portogallo                                                        
